name,lat,lng,icon,color,url,comment
慈恩の滝,33.26492, 131.06832,滝,blue,"https://www.google.com/maps?cid=4209227726255815359",""
桜滝,33.25177, 131.02296,滝,blue,"https://www.google.com/maps?cid=13397760215242726535",""
ラーメン・やきそば 三久,33.31705, 130.93262,飲食店,blue,"https://maps.google.com/?cid=12892139735482614067",""
クンチョウ酒造(株) (酒蔵ショップ薫長酒館・薫長酒蔵資料館),33.32888, 130.93735,お土産,blue,"https://maps.google.com/?cid=88344672995720562",""
市営豆田西駐車場,33.32577, 130.93389,駐車場,blue,"https://maps.google.com/?cid=7162197497340449505",""
豆田町上町通り駐車場（大分銀行豆田支店兼用）,33.32701, 130.9375,駐車場,blue,"https://maps.google.com/?cid=10702364624075927417",""
日田市営 豆田港町駐車場,33.32526, 130.93522,駐車場,blue,"https://maps.google.com/?cid=18099757328530206001",""
鳥市本店【唐揚げ店・生肉取扱い】,33.32702, 130.9372,軽食,blue,"https://maps.google.com/?cid=16472483818506448264",""
有限会社 日田醤油 本店,33.32734, 130.93539,お土産,blue,"https://maps.google.com/?cid=12892139735482614067",""
日田天領水の里 元気の駅,33.27138,130.98197,お土産,blue,"https://maps.google.com/?cid=4483282563190168501",""
いいちこ日田蒸留所,33.28536,130.91729,見学,blue,"https://maps.google.com/?cid=13721169804098346135",""
