name,lat,lng,icon,color,url,comment
ウキヨノハナレ,33.31342637156242,130.5149666956518,デザート,blue,https://maps.app.goo.gl/JPyPEzJrr95fKMZMA,""
おかずの店 魚ぜん,33.31359383409815,130.51481724906915,軽食,blue,https://maps.app.goo.gl/SAnk55xFRErnqKst7,""
フルーツパーラー大フク,33.31358423653807,130.51364691534272,デザート,blue,https://maps.app.goo.gl/VKZaDsknEshNSmUF6,""
韓流屋台 六ツ門ポチャ,33.31342955003994, 130.51407486441784,居酒屋,blue,https://maps.app.goo.gl/YWHAYsLP2TNsS55C7,""
大栄ラーメン,33.31171413420523,130.51767291871298,飲食店,blue,https://maps.app.goo.gl/Z1F1utHLLcD4BEL17,""
かすり屋,33.31355083418439, 130.51348512056273,飲食店,blue,https://maps.app.goo.gl/WcUSV8NtzdHeFnXcA,""
炭火焼肉 佐蔵,33.32236417123696, 130.51772349912605,飲食店,blue,https://maps.app.goo.gl/tLf7Qu3Eq8xLsZ3v5,""
石橋文化センター,33.31341970272073, 130.5304186498413,観光,blue,https://maps.app.goo.gl/MZM2QsnTTt4kY6ib9,""
高良大社,33.30199811504891, 130.56716381795275,観光,blue,https://maps.app.goo.gl/4KJr34Ep2NLNj3tg6,""
久留米市鳥類センター,33.319918304096134, 130.5295370602814,観光,blue,https://maps.app.goo.gl/Q8AUjVM9LfcpGXjg7,""
久留米百年公園,33.322129601423384, 130.53452063688124,観光,blue,https://maps.app.goo.gl/ksCPrHDPEYH1C35M6,""
西原糸店 かすりとだがし 創業大正六年,33.318176321078425, 130.50872792089194,観光,blue,https://maps.app.goo.gl/xgKUWoMpCaGvk2C69,""
洋食屋 にしむら,33.29655825028209, 130.5111687294882,飲食店,blue,https://maps.app.goo.gl/sE6W6Yu2XK4Yszht9,""
カフェ モ・クレ,33.30485326779491, 130.54967043744537,飲食店,blue,https://maps.app.goo.gl/i4vQzWKTbAJKTTGQ9,""
シェ オガワ,33.301429490052556, 130.55122991446873,飲食店,blue,https://maps.app.goo.gl/NoMfiA7vw9PLRoo38,""
いちごきらり みのうヴィレッジ,33.313214432560756, 130.57959361631853,体験,blue,https://maps.app.goo.gl/c9gShEqQobVKiHN3A,""
銀のすぷーん 久留米本店,33.31497449989471, 130.52826218138884,デザート,blue,https://maps.app.goo.gl/bXqK8hfd9JfjRKaJ7,""
湯の坂久留米温泉,33.30951037600261, 130.53074990131566,温泉,blue,https://maps.app.goo.gl/AT9fkmYa4y1FxUx38,""
カフェ＆ギャラリーショップ楽水亭,33.31202696735847, 130.53122157029034,デザート,blue,https://maps.app.goo.gl/QUV3sV528XBkoKuZ9,""
むた珈琲,33.3130007649049, 130.51874232426223,喫茶店,blue,https://maps.app.goo.gl/FqRbqDw1JqJrDuBX8,""
鳥喜,33.31271836957416, 130.51892949521104,居酒屋,blue,https://maps.app.goo.gl/9MpibcRqAUBdkuL46,""
久留米宗社 日吉神社,33.31426283275649, 130.5174014758396,観光,blue,https://maps.app.goo.gl/Cp9a3YsV5rKiJdih9,""
7+ COFFEE,33.313451637333536, 130.51343208508834,喫茶店,blue,https://maps.app.goo.gl/Uc3KdXAKrX2NJd8QA,""
山帰来,33.31986185195976, 130.636693812619,飲食店,blue,https://maps.app.goo.gl/Dzoyo9HgGY5qupDp9,""
KURUMEジェラート,33.316882421969176, 130.51867561273272,デザート,blue,https://maps.app.goo.gl/AadfyFxiSCrLsZEF7,""
巨峰ワイナリー,33.32254256559342, 130.69718745342712,酒蔵,blue,https://maps.app.goo.gl/TRFtPeRm2FHTbKnd7,""
紅乙女 耳納蒸留所,33.32410161868844, 130.69724298041302,酒蔵,blue,https://maps.app.goo.gl/xyuK7vnbh3Lr9pxQ8,""
ラーメン龍の家 上津本店,33.288080316764116, 130.52454145864715,ラーメン,blue,https://maps.app.goo.gl/dYvEv7gdioyTKcVWA,""
南京千両 マリン店,33.3168658344107, 130.51770089945526,ラーメン,blue,https://maps.app.goo.gl/StZi5Mr3G3guMkqJ7,""
拉麺 久留米 本田商店 久留米本店,33.29244594643296, 130.52583114144284,ラーメン,blue,https://maps.app.goo.gl/YfbXjTGUrYS68MYd9,""
おなか元気居酒屋 まんまる,33.31112807964203, 130.51602702829092,餃子,blue,https://maps.app.goo.gl/6ueTcEWFygxRDftz9,""
上海夢飯店,33.31446853773925, 130.5213484451542,飲食店,blue,https://maps.app.goo.gl/Axm5xWupt4nr42D7A,""
ぎょうざ専門店 湖月 久留米店(こげつ),33.314915334279256, 130.51151868138882,餃子,blue,https://maps.app.goo.gl/kW9yRjrjXsgyfVTBA,""
串焼 ほたる川,33.31717503713508, 130.51840502317273,焼き鳥,blue,https://maps.app.goo.gl/CeVMZcLUfg5JFqEKA,""
焼とり 鉄砲 上津バイパス店,33.285635671309485, 130.51427436419638,焼き鳥,blue,https://maps.app.goo.gl/gFuocW9YCgHHfSox9,""
久留米居酒屋楽園,33.3125939403419, 130.52003996452558,焼肉,blue,https://maps.app.goo.gl/XEBoqGR7wbpNYQGx7,""
