name,lat,lng,icon,color,url,comment
道の駅 筑前みなみの里,33.466793,130.6244201,道の駅,blue,"https://maps.google.com/?cid=12475038723101098834",""
道の駅 うきは,33.3340624,130.8155703,道の駅,blue,"https://maps.app.goo.gl/5LUQk2haU3bbVVvcA",""
道の駅 水辺の郷おおやま,33.2414392,130.9990442,道の駅,blue,"https://maps.app.goo.gl/xpj1oEb655Tqwi458",""
筑後川ゆめタウン裏河川敷ベンチ,33.322838, 130.538639,休憩,blue,"",""
三連水車の里あさくら,33.3661893,130.7335364,道の駅,blue,"https://maps.app.goo.gl/LTxVCzbrrDFgVWtMA",""
巨峰ワイナリー,33.3222825,130.6918874,休憩,blue,"https://maps.app.goo.gl/vp4CNFvVuvXGPZLW9",""
浮羽稲荷神社,33.3230123,130.7891644,休憩,blue,"https://maps.app.goo.gl/4gZQUmsX2DLwoj6j7",""
甘木公園,33.4274409,130.6623184,休憩,blue,"https://maps.app.goo.gl/S1jAPmRvCuow2A7Q9",""
ななやま農産物直売所 鳴神の庄,33.4444162,130.115528,休憩,blue,"https://maps.app.goo.gl/ysQHpTuiqoBxGQnx5",""
高取山公園,33.3710117,130.3331106,休憩,blue,"https://maps.app.goo.gl/bTBJThcYtgEMYiHg6",""
本間農園直売所「ほんまの小窓」,33.3773301,130.3286502,休憩,blue,"https://maps.app.goo.gl/A6c5BTNFPbcQqPqMA",""
囲炉裏みちたか,33.3788344,130.3217805,休憩,blue,"https://maps.app.goo.gl/eYeMa77Lw6GYeiJk7",""
そば遊山(ゆさん),33.3920736,130.3192355,休憩,blue,"https://maps.app.goo.gl/6amqjU9MYDgbpKjH9",""
つむぎ食堂,32.4182486,129.7346729,休憩,blue,"https://maps.app.goo.gl/phQ1LYvhrJR47ne68",""
